R193:26953.069356,0.008219,26953.101381,26953.109606
R194:26953.251537,0.040226,26953.251573,26953.291806
R195:26953.261084,0.089198,26953.291826,26953.381028
R196:26953.293742,0.011768,26953.381042,26953.392812
R197:26953.444289,0.004575,26953.444318,26953.448897
R198:26953.449113,0.126507,26953.449136,26953.575652
R199:26953.504763,0.048700,26953.575681,26953.624388
R200:26953.611862,0.074226,26953.624402,26953.698633
R201:26953.623403,0.062901,26953.698647,26953.761552
R202:26953.701980,0.037441,26953.761565,26953.799009
R203:26953.784171,0.182978,26953.799022,26953.982015
R204:26953.817163,0.015509,26953.982028,26953.997539
R205:26953.876022,0.062168,26953.997552,26954.059723
R206:26953.961569,0.075569,26954.059736,26954.135309
R207:26954.049282,0.147569,26954.135322,26954.282894
R208:26954.073482,0.008672,26954.282907,26954.291583
R209:26954.080098,0.015492,26954.291596,26954.307092
R210:26954.314053,0.021294,26954.314081,26954.335379
R211:26954.373821,0.028638,26954.373851,26954.402493
R212:26954.533213,0.175501,26954.533242,26954.708750
R213:26954.573402,0.140575,26954.708770,26954.849350
R214:26954.611771,0.003084,26954.849363,26954.852448
R215:26954.709621,0.125520,26954.852462,26954.977986
R216:26954.736690,0.150710,26954.977998,26955.128713
R217:26954.826096,0.020813,26955.128726,26955.149544
R218:26954.859592,0.078991,26955.149557,26955.228551
R219:26954.879660,0.093560,26955.228564,26955.322127
R220:26954.890233,0.105920,26955.322140,26955.428064
R221:26955.028828,0.042734,26955.428077,26955.470814
R222:26955.049159,0.047431,26955.470826,26955.518261
R223:26955.083644,0.040613,26955.518274,26955.558889
R224:26955.107526,0.014008,26955.558902,26955.572914
R225:26955.176721,0.001224,26955.572926,26955.574152
R226:26955.250416,0.040128,26955.574164,26955.614296
R227:26955.293911,0.111429,26955.614309,26955.725746
R228:26955.327047,0.087404,26955.725761,26955.813170
R229:26955.354480,0.210052,26955.813183,26956.023239
R230:26955.427548,0.138300,26956.023253,26956.161557
R231:26955.532855,0.031158,26956.161569,26956.192733
R232:26955.641663,0.000502,26956.192747,26956.193251
R233:26955.736045,0.154777,26956.193577,26956.348362
